,store,chain,co_owned,state,southj,centralj,northj,pa1,pa2,shore,ncalls,empft,emppt,nmgrs,wage_st,inctime,firstinc,meals,open,hoursopen,pricesoda,pricefry,priceentree,nregisters,nregisters11,time,fte,change_fte
204,73.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,7.0,3.0,4.25,,0.75,3.0,11.0,12.0,1.06,1.06,2.45,3.0,2.0,0.0,3.5,
205,75.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,15.0,3.0,4.25,4.0,0.25,2.0,11.0,11.0,1.17,1.27,2.77,3.0,3.0,0.0,10.5,
615,75.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,4.0,11.0,3.0,5.05,6.0,0.25,2.0,11.0,11.0,1.16,1.16,2.75,3.0,3.0,1.0,9.5,-1.0
616,76.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,25.0,15.0,6.0,5.05,13.0,0.15,2.0,6.5,16.5,1.11,1.06,1.05,6.0,3.0,1.0,32.5,8.5
206,76.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,32.0,4.0,4.25,26.0,0.2,2.0,6.0,17.0,1.12,1.02,1.02,6.0,3.0,0.0,24.0,
514,77.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,60.0,3.0,5.05,52.0,0.15,2.0,6.0,19.0,1.06,1.06,1.05,6.0,2.0,1.0,34.0,3.0
104,77.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,50.0,4.0,5.0,4.0,0.15,2.0,6.0,19.0,1.18,1.07,1.17,6.0,5.0,0.0,31.0,
515,78.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,10.0,12.0,2.0,5.05,26.0,0.1,2.0,7.0,16.0,1.11,1.01,1.05,5.0,3.0,1.0,16.0,-2.0
105,78.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,10.0,3.0,5.0,26.0,0.15,2.0,6.0,17.0,1.12,1.02,1.02,4.0,2.0,0.0,18.0,
207,79.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,6.0,25.0,3.0,4.5,26.0,0.15,2.0,6.0,17.0,1.17,1.02,1.06,5.0,4.0,0.0,18.5,
617,79.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,8.0,18.0,3.0,5.05,41.0,0.13,2.0,7.0,16.0,1.11,1.06,1.05,5.0,4.0,1.0,17.0,-1.5
618,80.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,11.0,14.0,3.0,5.05,13.0,0.1,2.0,10.5,12.5,1.12,0.98,0.99,2.0,1.0,1.0,18.0,3.5
208,80.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.5,20.0,,4.25,26.0,0.25,2.0,10.5,11.5,1.06,0.98,1.06,2.0,2.0,0.0,14.5,
106,81.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,25.0,13.0,3.0,5.0,26.0,0.1,2.0,10.0,12.0,1.06,0.98,1.06,2.0,2.0,0.0,31.5,
516,81.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,45.0,4.0,5.05,,,2.0,10.5,11.5,1.11,0.98,2.07,2.0,1.0,1.0,22.5,-9.0
517,82.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,25.0,8.0,4.0,5.05,13.0,0.18,2.0,10.5,13.5,1.11,0.98,1.05,2.0,2.0,1.0,29.0,13.75
107,82.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,8.0,14.5,3.0,5.0,13.0,0.37,2.0,10.5,13.5,1.06,1.03,1.06,2.0,2.0,0.0,15.25,
108,83.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,12.5,20.0,2.0,5.0,13.0,0.25,2.0,10.5,13.5,1.06,0.98,2.13,2.0,2.0,0.0,22.5,
518,83.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,,,4.0,5.05,26.0,0.5,2.0,10.0,14.0,1.11,0.89,0.99,2.0,2.0,1.0,,
619,84.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,12.0,30.0,5.0,5.05,52.0,0.2,2.0,7.0,16.0,1.05,0.9,0.94,3.0,3.0,1.0,27.0,8.0
209,84.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,30.0,5.0,4.5,26.0,0.15,2.0,7.0,16.0,1.04,0.85,0.91,4.0,2.0,0.0,19.0,
109,85.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,7.0,20.0,3.0,5.5,26.0,0.52,1.0,9.0,12.5,1.12,1.02,1.02,5.0,4.0,0.0,17.0,
519,85.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,,0.0,35.0,3.0,5.05,26.0,0.18,1.0,9.0,12.5,1.11,1.01,1.05,5.0,1.0,1.0,17.5,0.5
210,86.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,11.0,11.0,4.0,4.25,13.0,0.25,3.0,7.0,15.0,1.06,0.94,1.1,3.0,3.0,0.0,16.5,
620,86.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,9.0,12.0,4.0,5.05,4.0,0.13,3.0,7.0,15.0,1.05,1.05,1.04,3.0,3.0,1.0,15.0,-1.5
211,87.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,,4.5,26.0,,2.0,7.0,15.0,1.06,0.86,1.02,3.0,3.0,0.0,7.5,
621,87.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,,0.0,30.0,5.0,5.05,41.0,0.18,3.0,7.0,15.0,1.0,0.99,1.04,3.0,3.0,1.0,15.0,7.5
212,88.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,35.0,3.0,4.25,,,3.0,7.0,15.0,1.06,0.87,0.91,5.0,5.0,0.0,20.5,
622,88.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,37.0,4.0,5.05,42.0,0.18,2.0,7.0,15.0,1.05,0.87,0.94,5.0,2.0,1.0,22.5,2.0
110,89.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,10.0,6.0,3.0,5.0,13.0,0.17,2.0,7.0,16.0,1.09,0.95,1.04,3.0,2.0,0.0,13.0,
520,89.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,6.0,25.0,6.0,5.5,4.0,0.63,2.0,7.0,16.0,1.11,1.01,1.05,3.0,3.0,1.0,18.5,5.5
623,91.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,30.0,4.0,5.05,26.0,0.18,1.0,7.0,17.0,1.11,1.05,1.05,3.0,3.0,1.0,15.0,-4.0
213,91.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,8.0,22.0,4.0,4.25,8.0,0.15,2.0,7.0,17.0,1.09,0.93,1.04,3.0,3.0,0.0,19.0,
624,92.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,,14.0,6.0,3.0,5.05,,0.25,2.0,7.0,15.0,1.11,1.01,1.05,3.0,3.0,1.0,17.0,4.0
214,92.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,18.0,4.0,4.25,13.0,0.75,2.0,7.0,15.0,1.09,0.95,1.03,3.0,3.0,0.0,13.0,
625,93.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,5.0,25.0,5.0,5.05,13.0,0.15,2.0,7.0,16.0,1.11,1.05,1.05,4.0,3.0,1.0,17.5,0.0
215,93.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.5,30.0,3.0,4.25,52.0,0.15,2.0,7.0,16.0,,,0.96,,,0.0,17.5,
111,94.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,25.0,5.0,5.0,26.0,0.25,3.0,11.0,10.0,1.06,0.8,2.56,,,0.0,12.5,
521,94.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,2.0,20.0,4.0,5.05,52.0,0.25,1.0,11.0,10.0,1.05,0.79,2.53,3.0,,1.0,12.0,-0.5
216,95.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,18.0,3.0,4.0,4.25,26.0,0.27,1.0,11.0,10.0,1.06,0.8,2.56,4.0,3.0,0.0,19.5,
626,95.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,14.0,3.0,5.05,13.0,0.25,1.0,11.0,10.0,1.05,0.75,2.53,3.0,3.0,1.0,7.0,-12.5
627,96.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,15.0,5.0,5.05,26.0,0.15,2.0,11.5,10.5,1.05,0.94,2.59,4.0,0.0,1.0,7.5,0.0
217,96.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,15.0,2.0,4.25,26.0,0.12,2.0,11.5,10.0,1.06,1.01,2.66,3.0,2.0,0.0,7.5,
218,97.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,4.0,4.25,13.0,0.25,2.0,11.0,10.0,1.02,0.75,2.56,3.0,2.0,0.0,6.0,
628,97.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,2.5,11.0,3.0,5.05,13.0,0.3,2.0,11.0,10.0,1.05,0.8,2.54,3.0,2.0,1.0,8.0,2.0
629,98.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,,3.0,13.0,3.0,5.05,13.0,0.45,1.0,11.0,10.0,1.05,0.9,2.53,3.0,3.0,1.0,9.5,-0.5
219,98.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,20.0,4.0,4.25,13.0,0.4,3.0,11.0,10.0,1.06,0.8,2.56,3.0,3.0,0.0,10.0,
220,99.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,60.0,40.0,5.0,4.75,26.0,0.15,2.0,0.0,24.0,1.23,,2.3,8.0,6.0,0.0,80.0,
630,99.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0,30.0,50.0,4.0,5.05,15.0,0.25,2.0,0.0,24.0,1.22,1.17,2.32,5.0,2.0,1.0,55.0,-25.0
631,101.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,,10.0,12.0,3.0,5.05,26.0,0.15,2.0,7.0,15.0,1.15,1.1,1.05,8.0,3.0,1.0,16.0,4.0
221,101.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,4.5,15.0,3.0,4.75,26.0,0.15,2.0,7.0,15.0,1.2,1.18,1.06,6.0,4.0,0.0,12.0,
222,102.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,13.0,3.0,4.4,52.0,0.2,2.0,7.0,16.0,1.06,0.91,1.07,6.0,4.0,0.0,18.5,
632,102.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,27.0,2.0,5.05,52.0,0.25,2.0,7.0,15.0,1.07,1.01,1.05,5.0,5.0,1.0,13.5,-5.0
522,103.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,,,2.0,5.05,13.0,,2.0,10.5,12.5,1.05,0.84,1.26,2.0,2.0,1.0,,
112,103.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,12.5,10.0,3.0,5.0,26.0,0.27,2.0,10.5,11.5,0.91,0.85,0.95,2.0,2.0,0.0,17.5,
223,104.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,40.0,20.0,3.0,4.62,4.0,0.32,2.0,10.5,11.5,0.95,0.84,0.94,2.0,2.0,0.0,50.0,
633,104.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,11.0,10.0,3.0,5.05,26.0,0.08,2.0,10.5,12.5,1.0,0.84,0.94,2.0,2.0,1.0,16.0,-34.0
224,105.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,40.0,4.0,4.25,10.0,,2.0,6.5,16.5,0.96,1.0,1.03,4.0,2.0,0.0,20.0,
634,105.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,45.0,4.0,5.05,13.0,0.25,2.0,6.5,16.5,1.05,0.99,1.16,4.0,3.0,1.0,22.5,2.5
225,106.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,35.0,3.0,4.25,26.0,0.27,3.0,7.0,16.0,1.06,0.95,0.95,2.0,1.0,0.0,17.5,
635,106.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,2.0,25.0,3.0,5.05,26.0,0.2,0.0,7.0,16.0,1.05,0.95,0.95,2.0,2.0,1.0,14.5,-3.0
226,107.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,11.0,3.0,4.25,8.0,0.32,1.0,8.0,14.5,1.17,0.95,0.95,3.0,3.0,0.0,11.5,
636,107.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,13.5,10.0,2.0,5.05,,,1.0,8.0,14.0,,1.01,1.0,4.0,2.0,1.0,18.5,7.0
227,108.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,13.5,15.0,4.0,4.25,26.0,0.37,1.0,7.0,17.0,1.27,1.01,1.06,3.0,3.0,0.0,21.0,
637,108.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,11.0,24.0,5.0,5.05,26.0,0.15,1.0,7.0,17.0,1.37,1.02,1.05,3.0,3.0,1.0,23.0,2.0
638,111.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,20.0,14.5,3.0,5.05,26.0,,2.0,7.0,16.0,1.16,1.16,1.0,5.0,4.0,1.0,27.25,3.25
228,111.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,14.0,3.0,4.25,2.0,0.42,3.0,7.0,16.0,1.17,1.06,1.01,5.0,5.0,0.0,24.0,
113,112.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,26.0,3.0,5.0,13.0,0.2,2.0,10.0,14.0,1.06,0.98,1.06,2.0,2.0,0.0,17.0,
523,112.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,5.0,25.0,6.0,5.05,28.0,0.18,2.0,10.5,12.5,1.11,1.09,2.07,,,1.0,17.5,0.5
489,113.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,2.0,40.0,5.0,5.05,26.0,0.28,2.0,7.0,16.0,1.05,0.9,0.98,3.0,2.0,1.0,22.0,11.0
79,113.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,4.0,,,,2.0,7.0,16.0,1.06,0.95,1.0,4.0,,0.0,11.0,
229,114.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,35.0,5.0,4.75,26.0,0.57,2.0,7.0,16.0,1.07,0.95,0.95,3.0,,0.0,17.5,
639,114.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,20.0,40.0,4.0,5.25,26.0,0.25,2.0,6.5,16.5,1.11,0.94,0.94,3.0,3.0,1.0,40.0,22.5
640,115.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,6.0,15.0,4.0,5.05,,,1.0,7.0,17.0,1.05,0.95,1.01,4.0,4.0,1.0,13.5,-19.0
230,115.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,25.0,4.0,4.75,4.0,0.3,1.0,7.0,17.0,1.06,0.95,1.06,4.0,3.0,0.0,32.5,
641,116.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,22.0,12.0,3.0,5.05,13.0,0.45,2.0,8.5,13.0,1.39,0.95,1.21,8.0,2.0,1.0,28.0,12.75
231,116.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,22.5,2.0,4.25,18.0,0.37,2.0,8.5,13.0,1.49,1.02,1.11,7.0,3.0,0.0,15.25,
232,118.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,10.0,15.0,4.0,4.25,26.0,0.15,2.0,7.0,15.0,1.06,0.95,1.01,4.0,2.0,0.0,17.5,
642,118.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,18.0,20.0,3.0,5.05,26.0,0.38,2.0,7.0,15.0,1.05,0.94,1.0,4.0,2.0,1.0,28.0,10.5
233,119.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,12.0,19.0,3.0,4.75,13.0,0.27,3.0,6.5,16.5,1.06,0.91,0.95,3.0,3.0,0.0,21.5,
643,119.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,18.0,13.0,4.0,5.05,26.0,,3.0,6.5,17.5,1.05,0.89,0.95,3.0,3.0,1.0,24.5,3.0
234,120.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,32.0,3.0,4.5,,,2.0,7.0,16.0,1.13,0.98,1.04,3.0,2.0,0.0,16.0,
644,120.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,30.0,4.0,5.05,,,2.0,7.0,16.0,1.05,1.05,1.05,3.0,2.0,1.0,15.0,-1.0
235,122.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,38.0,5.0,4.25,4.0,0.2,1.0,9.0,12.5,,1.12,1.12,5.0,3.0,0.0,20.0,
645,122.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,10.0,50.0,6.0,5.05,26.0,0.1,1.0,9.0,12.5,1.15,0.94,1.15,6.0,4.0,1.0,35.0,15.0
490,123.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,5.0,25.0,4.0,5.05,26.0,0.15,3.0,7.5,14.0,1.05,0.94,1.0,3.0,2.0,1.0,17.5,7.5
80,123.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,5.0,,13.0,,2.0,7.0,14.5,1.06,0.95,1.01,2.0,1.0,0.0,10.0,
236,124.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,8.0,10.0,3.0,4.25,13.0,0.25,2.0,8.0,15.0,1.06,0.91,1.04,2.0,2.0,0.0,13.0,
646,124.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,21.0,6.0,4.0,5.05,13.0,0.5,3.0,7.0,15.0,1.16,0.94,1.12,2.0,2.0,1.0,24.0,11.0
647,125.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,15.0,2.0,5.05,52.0,0.4,1.0,10.0,12.0,1.01,1.01,2.49,4.0,3.0,1.0,7.5,-7.5
237,125.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,4.0,4.5,26.0,0.25,1.0,10.0,12.5,0.91,0.85,2.34,3.0,2.0,0.0,15.0,
524,128.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,16.0,2.0,5.05,26.0,0.25,1.0,11.0,11.0,1.05,0.79,2.32,3.0,2.0,1.0,11.0,0.75
114,128.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,6.5,7.5,2.0,5.0,,0.15,2.0,11.0,11.0,1.06,0.85,2.34,4.0,2.0,0.0,10.25,
115,129.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,20.0,20.0,3.0,5.25,26.0,0.05,2.0,6.0,16.0,1.1,1.0,0.74,6.0,4.0,0.0,30.0,
525,129.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,7.0,18.0,4.0,5.05,52.0,0.25,2.0,6.0,16.0,1.11,1.0,0.89,4.0,3.0,1.0,16.0,-14.0
238,130.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,7.0,25.5,3.0,4.5,19.0,0.3,2.0,5.0,18.0,1.12,1.07,1.0,4.0,3.0,0.0,19.75,
648,130.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,2.0,38.0,4.0,5.05,4.0,0.15,2.0,7.0,16.0,1.11,1.06,1.05,5.0,3.0,1.0,21.0,1.25
116,131.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,15.0,25.0,4.0,5.5,4.0,0.37,2.0,6.0,17.0,1.06,1.06,1.06,5.0,2.0,0.0,27.5,
526,131.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,8.0,22.0,3.0,5.05,,,2.0,7.0,15.0,1.05,1.11,1.05,5.0,4.0,1.0,19.0,-8.5
649,132.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,15.0,20.0,3.0,5.5,52.0,0.25,2.0,7.0,14.0,,,,2.0,2.0,1.0,25.0,-5.0
239,132.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,5.0,4.5,26.0,0.25,2.0,0.0,24.0,1.28,1.06,2.3,5.0,3.0,0.0,30.0,
650,133.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,3.0,20.0,3.0,5.05,26.0,,2.0,7.0,15.0,1.11,1.06,2.11,5.0,3.0,1.0,13.0,-1.0
240,133.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0,2.0,4.75,26.0,,2.0,6.0,17.0,1.12,1.07,1.06,4.0,3.0,0.0,14.0,
651,134.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,6.0,27.5,3.0,5.05,52.0,0.25,2.0,6.0,16.0,1.11,1.06,0.94,4.0,3.0,1.0,19.75,1.75
241,134.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,5.5,25.0,3.0,4.62,,,2.0,6.0,16.0,1.09,,0.95,4.0,3.0,0.0,18.0,
81,135.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,20.0,4.0,,26.0,,0.0,9.0,12.5,,,,5.0,3.0,0.0,20.0,
491,135.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,8.0,24.0,3.0,5.05,,0.25,2.0,10.0,11.5,1.16,1.06,1.05,5.0,3.0,1.0,20.0,0.0
242,136.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,14.5,14.5,5.0,4.25,21.0,0.27,2.0,6.0,17.0,1.12,1.07,1.1,5.0,4.0,0.0,21.75,
652,136.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,,,,,,,,7.0,16.0,,,,,,1.0,,
653,137.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,12.0,30.0,5.0,5.05,26.0,0.25,2.0,7.0,15.0,1.11,1.11,1.05,5.0,3.0,1.0,27.0,-0.5
243,137.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,15.0,25.0,3.0,4.25,26.0,0.15,2.0,6.0,16.0,1.12,1.06,1.02,6.0,4.0,0.0,27.5,
492,138.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,2.0,33.0,3.0,5.05,26.0,0.2,2.0,10.0,11.5,1.21,1.01,0.94,6.0,4.0,1.0,18.5,1.25
82,138.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.5,25.5,2.0,,,,2.0,10.0,11.5,1.12,1.07,1.06,6.0,,0.0,17.25,
117,139.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,2.0,5.5,,,2.0,10.5,12.5,0.95,0.95,1.06,2.0,1.0,0.0,,
527,139.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,11.0,25.0,5.0,5.5,19.0,0.25,2.0,11.0,12.0,,,,,,1.0,23.5,
654,140.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,5.0,35.0,5.0,5.67,4.0,0.25,2.0,10.5,11.5,1.0,0.94,1.05,2.0,2.0,1.0,22.5,2.5
244,140.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,3.0,4.5,26.0,0.37,2.0,10.5,11.5,0.91,0.86,1.06,2.0,2.0,0.0,20.0,
245,141.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,15.0,4.0,4.75,13.0,0.27,2.0,10.5,12.5,1.02,0.91,1.06,2.0,2.0,0.0,17.5,
655,141.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,10.0,25.0,3.0,5.05,13.0,0.18,2.0,10.5,12.5,1.05,0.84,1.34,2.0,2.0,1.0,22.5,5.0
246,142.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,35.0,4.0,4.25,26.0,0.15,2.0,10.0,11.5,1.06,0.95,1.06,2.0,2.0,0.0,32.5,
656,142.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,40.0,31.0,5.0,5.05,26.0,0.18,2.0,10.0,11.5,1.01,0.89,1.26,2.0,2.0,1.0,55.5,23.0
118,143.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,30.0,3.0,5.37,26.0,0.25,2.0,10.5,11.5,0.95,0.95,1.06,2.0,2.0,0.0,15.0,
528,143.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,1.0,,
119,144.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,10.0,30.0,3.0,5.05,26.0,0.15,2.0,10.5,12.5,0.91,0.85,1.06,2.0,2.0,0.0,25.0,
529,144.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,37.0,3.0,5.05,26.0,0.35,2.0,10.5,12.5,0.94,0.94,1.26,2.0,2.0,1.0,22.5,-2.5
530,145.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,10.0,8.0,4.0,5.28,26.0,0.13,2.0,7.0,16.0,1.05,0.96,0.95,3.0,2.0,1.0,14.0,0.5
120,145.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,17.0,3.0,5.0,13.0,0.15,2.0,7.0,16.0,1.06,0.95,0.95,3.0,2.0,0.0,13.5,
